commune_norm;commune_x;taux_jeunesse;taux_vieillesse;INIV;nb_atm;IEDU;Indice_accessibilite_x;Indice_transport;indice_densite_routiere;Indice_POI;densite_norm;Indice_POI_norm;indice_densite_routiere_norm;indice_transport_norm_x;indice_transport_norm_y;commune_key;commune_y;latitude;longitude;densite
aghbalounkerdous;Aghbalou-N'kerdous;32.8;12.8;0.7385;;0.6136;1.94;0.0;3.81;0.15;0.0187885699781249;0.5387700534759359;0.4127673796791444;0.3699866310160428;0.3957219251336898;aghbalou-n'kerdous;aghbalou-n'kerdous;31.6767522;-5.3325304;10672.0
aghbar;Aghbar;29.1;15.3;0.0317;;0.2575;0.36;0.0;0.64;0.18;0.0060530959100179;0.5925802139037433;0.0267379679144385;0.3699866310160428;0.025066844919786;aghbar;aghbar;30.9037704;-8.4054025;3447.0
aghouatim;Aghouatim;30.0;11.8;0.8258;;0.5752;5.54;12.02;3.34;1.32;0.0635927609626432;0.883355614973262;0.3459224598930481;0.9595588235294118;0.7994652406417112;aghouatim;aghouatim;31.3747501;-7.9346687;36090.0
aghouinite;Aghouinite;0.0;0.0;0.8624;;0.5494;;;;;0.0017503565051391;0.0;0.0;0.0;0.0;aghouinite;aghouinite;22.47328;-13.62351;1006.0
aglif;Aglif;31.4;19.7;0.2409;;0.4025;2.11;0.0;4.21;0.04;0.0114328421876459;0.25;0.4605614973262032;0.3699866310160428;0.4351604278074866;aglif;aglif;31.1115476;-9.3787735;6499.0
agoudim;Agoudim;28.9;15.4;0.6137;;0.4252;1.7;0.0;3.3;0.26;0.0067141066747985;0.660427807486631;0.3432486631016043;0.3699866310160428;0.3365641711229946;agoudim;agoudim;32.3815877;-5.1787874;3822.0
agoudinlkhair;Agoudi N'lkhair;31.5;12.1;0.405;;0.3995;0.67;0.0;1.32;0.04;0.0210642097043431;0.25;0.0855614973262032;0.3699866310160428;0.0728609625668449;agoudi n'lkhair;agoudi n'lkhair;31.9790731;-6.4512029;11963.0
agourai;Agourai;26.8;14.0;0.906;;0.6917;5.42;0.0;10.81;0.07;0.0337468029112676;0.3776737967914438;0.8221925133689839;0.3699866310160428;0.794451871657754;agourai;agourai;33.643846;-5.589918;19158.0
aguelmamazegza;Aguelmam Azegza;25.7;16.6;0.2277;;0.3734;1.02;0.0;1.97;0.18;0.0119263968920155;0.5925802139037433;0.1644385026737967;0.3699866310160428;0.1504010695187165;aguelmam azegza;aguelmam azegza;32.9321922;-5.4167802;6779.0
aguelmous;Aguelmous;25.3;14.6;0.617;;0.5035;0.93;0.0;1.73;0.33;0.0644124143109712;0.7162433155080213;0.1293449197860962;0.3699866310160428;0.1296791443850267;aguelmous;aguelmous;33.1575774;-5.8472009;36555.0
aguerd;Aguerd;26.1;18.5;0.7404;;0.5145;2.13;0.0;4.1;0.4;0.009442759111813;0.7536764705882353;0.4488636363636363;0.3699866310160428;0.4415106951871658;aguerd;aguerd;31.4215964;-9.6171977;5370.0
aguinane;Aguinane;24.0;23.1;0.6019;;0.4429;0.56;0.0;1.1;0.04;0.0042005030732593;0.25;0.0614973262032085;0.3699866310160428;0.0514705882352941;aguinane;aguinane;30.2050711;-7.5616551;2396.0
ahdil;Ahdil;32.6;11.2;0.649;;0.4467;0.67;0.0;1.3;0.11;0.0195958844588437;0.4699197860962567;0.0835561497326203;0.3699866310160428;0.0728609625668449;ahdil;ahdil;31.6127252;-8.8676796;11130.0
ahfir;Ahfir;18.1;26.3;0.9404;;0.7618;13.62;0.0;26.69;1.4;0.0279281454858252;0.8883689839572193;0.9431818181818182;0.3699866310160428;0.9311497326203207;ahfir;ahfir;34.955281;-2.100793;15857.0
ahlaf;Ahlaf;28.3;16.0;0.641;;0.4419;1.98;0.0;3.95;0.0;0.0203802838997167;0.0875668449197861;0.4324866310160428;0.3699866310160428;0.4087566844919786;ahlaf;ahlaf;33.28785;-7.204819;11575.0
ahlangad;Ahl Angad;27.4;13.5;0.8361;;0.6763;3.06;0.0;5.93;0.48;0.0316051280333784;0.777072192513369;0.6286764705882353;0.3699866310160428;0.6049465240641712;ahl angad;ahl angad;34.786708;-1.9404213;17943.0
ahlouedza;Ahl Oued Za;26.5;15.1;0.6226;;0.4153;1.06;0.0;2.08;0.11;0.0187885699781249;0.4699197860962567;0.177807486631016;0.3699866310160428;0.1620989304812834;ahl oued za;ahl oued za;34.2917042;-2.7967882;10672.0
ahlramel;Ahl Ramel;25.1;16.1;0.8688;;0.595;3.85;0.0;7.64;0.15;0.0131902494742761;0.5387700534759359;0.7316176470588235;0.3699866310160428;0.7038770053475936;ahl ramel;ahl ramel;30.280871;-9.156213;7496.0
ahlsidilahcen;Ahl Sidi Lahcen;22.8;20.6;0.8409;;0.5678;2.14;0.0;4.28;0.0;0.0062628566593749;0.0875668449197861;0.4689171122994652;0.3699866310160428;0.4445187165775401;ahl sidi lahcen;ahl sidi lahcen;33.7691954;-4.6638471;3566.0
ahltifnoute;Ahl Tifnoute;29.5;16.3;0.4161;;0.3422;1.96;0.0;3.84;0.18;0.0091360501169548;0.5925802139037433;0.4177807486631016;0.3699866310160428;0.402072192513369;ahl tifnoute;ahl tifnoute;30.965481;-7.826771;5196.0
ahmarlaglalcha;Ahmar Laglalcha;28.2;10.7;0.8592;;0.66;1.87;0.0;3.62;0.29;0.0381006604819561;0.6895053475935828;0.3883689839572192;0.3699866310160428;0.3790106951871658;ahmar laglalcha;ahmar laglalcha;30.452901;-8.982032;21628.0
ainaicha;Ain Aicha;31.7;12.7;0.5434;;0.5102;1.88;0.0;3.7;0.15;0.0403428089960921;0.5387700534759359;0.3990641711229946;0.3699866310160428;0.3800133689839572;ain aicha;ain aicha;34.4105851;-4.6234309;22900.0
ainattig;Ain Attig;27.5;8.8;0.9923;;0.8168;12.78;6.97;21.07;0.77;0.1291474018751553;0.8325534759358288;0.9224598930481284;0.9331550802139036;0.9237967914438504;ain attig;ain attig;33.8898576;-6.9678655;73280.0
ainbeida;Ain Beida;26.1;14.6;0.6013;;0.6347;0.65;0.0;1.28;0.04;0.0182368463264547;0.25;0.0802139037433155;0.3699866310160428;0.070187165775401;ain beida;ain beida;34.9876064;-5.5284144;10359.0
ainbida;Ain Bida;28.7;12.2;0.9028;;0.6572;2.54;0.0;4.96;0.29;0.0193984625770958;0.6895053475935828;0.5524732620320856;0.3699866310160428;0.5347593582887701;ain bida;ain bida;34.9876064;-5.5284144;11018.0
ainblal;Ain Blal;29.6;16.2;0.762;;0.4624;2.6;0.0;5.19;0.0;0.0070137648881657;0.0875668449197861;0.5752005347593583;0.3699866310160428;0.5471256684491979;ain blal;ain blal;32.5234399;-7.6148619;3992.0
ainbnimathar;Ain Bni Mathar;26.3;14.8;0.9012;;0.6567;14.79;0.24;29.11;0.84;0.0272759481979083;0.8392379679144385;0.9491978609625668;0.7737299465240641;0.9338235294117648;ain bni mathar;ain bni mathar;34.013156;-2.023083;15487.0
ainbouali;Ain Bou Ali;29.4;11.9;0.3208;;0.3408;5.29;0.0;10.55;0.07;0.0217534235950877;0.3776737967914438;0.8168449197860963;0.3699866310160428;0.7887700534759359;ain bou ali;ain bou ali;34.1304581;-5.0013856;12354.0
ainchair;Ain Chair;27.5;15.8;0.868;;0.6357;2.12;0.0;4.25;0.0;0.002619365323904;0.0875668449197861;0.463903743315508;0.3699866310160428;0.4388368983957219;ain chair;ain chair;32.2202008;-2.4872846;1499.0
aincheggag;Ain Cheggag;30.1;11.4;0.8914;;0.6782;2.16;0.0;4.3;0.07;0.0499583122544345;0.3776737967914438;0.4709224598930481;0.3699866310160428;0.4481951871657754;ain cheggag;ain cheggag;33.887389;-5.036853;28355.0
ainchkef;Ain Chkef;32.0;8.7;0.8875;;0.6663;5.05;0.48;9.53;0.7;0.1505253713558476;0.8228609625668449;0.7924465240641712;0.8235294117647058;0.7774064171122995;ain chkef;ain chkef;33.9646801;-5.0876587;85408.0
ainchouater;Ain Chouater;24.1;16.5;0.9508;;0.8593;0.17;0.0;0.3;0.11;0.0012197851979418;0.4699197860962567;0.0120320855614973;0.3699866310160428;0.0106951871657754;ain chouater;ain chouater;31.8504227;-2.964937;705.0
aindfali;Ain Dfali;27.5;14.1;0.7001;;0.5679;3.34;0.0;6.61;0.15;0.0405472816593309;0.5387700534759359;0.6721256684491979;0.3699866310160428;0.6443850267379679;ain dfali;ain dfali;34.6070257;-5.5629739;23016.0
aindorbanelahlaf;Ain Dorbane-Lahlaf;31.3;13.7;0.7852;;0.494;3.2;0.0;6.41;0.0;0.0148736235552508;0.0875668449197861;0.6607620320855615;0.3699866310160428;0.6263368983957219;ain dorbane-lahlaf;ain dorbane-lahlaf;33.0295103;-7.2695226;8451.0
ainelaouda;Ain El Aouda;28.0;9.7;0.9845;;0.8043;8.06;2.64;13.88;1.65;0.1735214951887229;0.901403743315508;0.8683155080213903;0.8850267379679144;0.8689839572192514;ain el aouda;ain el aouda;33.803077;-6.79413;98454.0
ainerreggada;Ain Erreggada;21.2;24.6;0.9361;;0.7399;27.43;0.0;54.75;0.29;0.0041916895963956;0.6895053475935828;0.984625668449198;0.3699866310160428;0.9725935828877004;ain erreggada;ain erreggada;34.93199;-2.23729;2391.0
